TITLE = "PIV"
VARIABLES = "x", "y", "u", "v"
ZONE T="0", I=75, J=42
1.600000000000000000e+01 1.040000000000000000e+03 1.276472091674804688e+00 1.495554828643798828e+01
3.200000000000000000e+01 1.040000000000000000e+03 5.735626220703125000e-01 1.522770690917968750e+01
4.800000000000000000e+01 1.040000000000000000e+03 -5.864562988281250000e-01 1.595356941223144531e+01
6.400000000000000000e+01 1.040000000000000000e+03 -1.699275970458984375e+00 1.641605377197265625e+01
8.000000000000000000e+01 1.040000000000000000e+03 -2.589914321899414062e+00 1.613637351989746094e+01
9.600000000000000000e+01 1.040000000000000000e+03 -3.348756790161132812e+00 1.538573455810546875e+01
1.120000000000000000e+02 1.040000000000000000e+03 -4.173324584960937500e+00 1.472906494140625000e+01
1.280000000000000000e+02 1.040000000000000000e+03 -4.890024185180664062e+00 1.392547988891601562e+01
1.440000000000000000e+02 1.040000000000000000e+03 -5.494842529296875000e+00 1.277340888977050781e+01
1.600000000000000000e+02 1.040000000000000000e+03 -6.025478363037109375e+00 1.161416435241699219e+01
1.760000000000000000e+02 1.040000000000000000e+03 -6.181280136108398438e+00 1.035076522827148438e+01
1.920000000000000000e+02 1.040000000000000000e+03 -6.152664184570312500e+00 9.609760284423828125e+00
2.080000000000000000e+02 1.040000000000000000e+03 -6.093006134033203125e+00 9.677490234375000000e+00
2.240000000000000000e+02 1.040000000000000000e+03 -5.830642700195312500e+00 9.671657562255859375e+00
2.400000000000000000e+02 1.040000000000000000e+03 -5.423484802246093750e+00 9.420166015625000000e+00
2.560000000000000000e+02 1.040000000000000000e+03 -4.874017715454101562e+00 9.315416336059570312e+00
2.720000000000000000e+02 1.040000000000000000e+03 -4.293468475341796875e+00 9.580478668212890625e+00
2.880000000000000000e+02 1.040000000000000000e+03 -3.733917236328125000e+00 1.005906486511230469e+01
3.040000000000000000e+02 1.040000000000000000e+03 -3.123758316040039062e+00 1.065583992004394531e+01
3.200000000000000000e+02 1.040000000000000000e+03 -2.539129257202148438e+00 1.134246444702148438e+01
3.360000000000000000e+02 1.040000000000000000e+03 -2.019691467285156250e+00 1.209993362426757812e+01
3.520000000000000000e+02 1.040000000000000000e+03 -1.549665451049804688e+00 1.280672836303710938e+01
3.680000000000000000e+02 1.040000000000000000e+03 -1.221797943115234375e+00 1.347653198242187500e+01
3.840000000000000000e+02 1.040000000000000000e+03 -9.551811218261718750e-01 1.403239631652832031e+01
4.000000000000000000e+02 1.040000000000000000e+03 -7.169609069824218750e-01 1.450056648254394531e+01
4.160000000000000000e+02 1.040000000000000000e+03 -4.763107299804687500e-01 1.478042030334472656e+01
4.320000000000000000e+02 1.040000000000000000e+03 -2.496109008789062500e-01 1.499909496307373047e+01
4.480000000000000000e+02 1.040000000000000000e+03 -8.089447021484375000e-02 1.515491294860839844e+01
4.640000000000000000e+02 1.040000000000000000e+03 3.661918640136718750e-02 1.524612903594970703e+01
4.800000000000000000e+02 1.040000000000000000e+03 9.528350830078125000e-02 1.535650157928466797e+01
4.960000000000000000e+02 1.040000000000000000e+03 1.434745788574218750e-01 1.546482372283935547e+01
5.120000000000000000e+02 1.040000000000000000e+03 1.807060241699218750e-01 1.547191238403320312e+01
5.280000000000000000e+02 1.040000000000000000e+03 1.828670501708984375e-01 1.548473548889160156e+01
5.440000000000000000e+02 1.040000000000000000e+03 2.151775360107421875e-01 1.550636577606201172e+01
5.600000000000000000e+02 1.040000000000000000e+03 2.569122314453125000e-01 1.557205677032470703e+01
5.760000000000000000e+02 1.040000000000000000e+03 2.517585754394531250e-01 1.561211109161376953e+01
5.920000000000000000e+02 1.040000000000000000e+03 2.578811645507812500e-01 1.560070419311523438e+01
6.080000000000000000e+02 1.040000000000000000e+03 2.682113647460937500e-01 1.561076736450195312e+01
6.240000000000000000e+02 1.040000000000000000e+03 2.672863006591796875e-01 1.561239624023437500e+01
6.400000000000000000e+02 1.040000000000000000e+03 2.338294982910156250e-01 1.562074851989746094e+01
6.560000000000000000e+02 1.040000000000000000e+03 2.084388732910156250e-01 1.565732479095458984e+01
6.720000000000000000e+02 1.040000000000000000e+03 2.100715637207031250e-01 1.569328022003173828e+01
1.600000000000000000e+01 1.056000000000000000e+03 1.436069488525390625e+00 1.526871013641357422e+01
3.200000000000000000e+01 1.056000000000000000e+03 8.842201232910156250e-01 1.567684555053710938e+01
4.800000000000000000e+01 1.056000000000000000e+03 -2.089557647705078125e-01 1.640802001953125000e+01
6.400000000000000000e+01 1.056000000000000000e+03 -1.219043731689453125e+00 1.690995025634765625e+01
8.000000000000000000e+01 1.056000000000000000e+03 -2.033025741577148438e+00 1.679461479187011719e+01
9.600000000000000000e+01 1.056000000000000000e+03 -2.724720001220703125e+00 1.629798126220703125e+01
1.120000000000000000e+02 1.056000000000000000e+03 -3.393562316894531250e+00 1.579560184478759766e+01
1.280000000000000000e+02 1.056000000000000000e+03 -4.032863616943359375e+00 1.487944602966308594e+01
1.440000000000000000e+02 1.056000000000000000e+03 -4.834192276000976562e+00 1.354488563537597656e+01
1.600000000000000000e+02 1.056000000000000000e+03 -5.716859817504882812e+00 1.224571228027343750e+01
1.760000000000000000e+02 1.056000000000000000e+03 -6.234214782714843750e+00 1.100180244445800781e+01
1.920000000000000000e+02 1.056000000000000000e+03 -6.462583541870117188e+00 1.029241371154785156e+01
2.080000000000000000e+02 1.056000000000000000e+03 -6.177267074584960938e+00 1.019951057434082031e+01
2.240000000000000000e+02 1.056000000000000000e+03 -5.527921676635742188e+00 9.917278289794921875e+00
2.400000000000000000e+02 1.056000000000000000e+03 -4.858066558837890625e+00 9.541828155517578125e+00
2.560000000000000000e+02 1.056000000000000000e+03 -4.121158599853515625e+00 9.258756637573242188e+00
2.720000000000000000e+02 1.056000000000000000e+03 -3.366828918457031250e+00 9.268341064453125000e+00
